Source,Term_ID,Term,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,adj_p_value,-log10(adj_p),hits,Category
GO:BP,GO:0030522,intracellular receptor signaling pathway,1.0,False,"""The series of molecular signals initiated by a ligand binding to a receptor located within a cell."" [GOC:bf, GOC:mah]",377,10,1,21026,0.1,0.002652519893899204,query_1,['GO:0035556'],['IFIH1'],"[['IDA', 'IMP', 'IBA', 'TAS']]",1.0,-0.0,1,Other
GO:BP,GO:0030449,regulation of complement activation,1.0,False,"""Any process that modulates the frequency, rate or extent of complement activation."" [GOC:go_curators]",21,10,1,21026,0.1,0.047619047619047616,query_1,"['GO:0002697', 'GO:0002920', 'GO:0006956']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0030335,positive regulation of cell migration,1.0,False,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",559,10,2,21026,0.2,0.0035778175313059034,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']","['IL1B', 'CD40']","[['IDA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0030334,regulation of cell migration,1.0,False,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",960,10,2,21026,0.2,0.0020833333333333333,query_1,"['GO:0016477', 'GO:2000145']","['IL1B', 'CD40']","[['IDA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0030220,platelet formation,1.0,False,"""The process in which platelets bud from long processes extended by megakaryocytes."" [GOC:mah, ISBN:0815316194]",25,10,1,21026,0.1,0.04,query_1,"['GO:0030099', 'GO:0036344', 'GO:0048646']",['PTPN6'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0030217,T cell differentiation,1.0,False,"""The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."" [GO_REF:0000022, GOC:jid, GOC:mah]",319,10,1,21026,0.1,0.003134796238244514,query_1,"['GO:0030098', 'GO:0042110']",['IL1B'],[['IBA']],1.0,-0.0,1,Other
GO:BP,GO:0022402,cell cycle process,1.0,False,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1280,10,2,21026,0.2,0.0015625,query_1,"['GO:0007049', 'GO:0009987']","['PTPN6', 'IL1B']","[['IMP'], ['IMP']]",1.0,-0.0,2,Other
GO:BP,GO:0022008,neurogenesis,1.0,False,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1771,10,1,21026,0.1,0.000564652738565782,query_1,"['GO:0007399', 'GO:0030154']",['IL1B'],"[['IGI', 'ISS', 'TAS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0021782,glial cell development,1.0,False,"""The process aimed at the progression of a glial cell over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",134,10,1,21026,0.1,0.007462686567164179,query_1,"['GO:0010001', 'GO:0048468']",['IL1B'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0015833,peptide transport,1.0,False,"""The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",288,10,1,21026,0.1,0.003472222222222222,query_1,['GO:0042886'],['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0015749,monosaccharide transmembrane transport,1.0,False,"""The process in which a monosaccharide is transported across a lipid bilayer, from one side of a membrane to the other. Monosaccharides are the simplest carbohydrates; they are polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides."" [GO_REF:0000069, GOC:TermGenie, GOC:vw]",122,10,1,21026,0.1,0.00819672131147541,query_1,['GO:0034219'],['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0015732,prostaglandin transport,1.0,False,"""The directed movement of prostaglandins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:krc]",30,10,1,21026,0.1,0.03333333333333333,query_1,"['GO:0015908', 'GO:0071715']",['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0015718,monocarboxylic acid transport,1.0,False,"""The directed movement of monocarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:krc]",183,10,1,21026,0.1,0.00546448087431694,query_1,['GO:0046942'],['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0015711,organic anion transport,1.0,False,"""The directed movement of organic anions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage."" [GOC:ai, GOC:krc]",459,10,1,21026,0.1,0.002178649237472767,query_1,['GO:0006810'],['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0015031,protein transport,1.0,False,"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1444,10,1,21026,0.1,0.0006925207756232687,query_1,"['GO:0045184', 'GO:0071705']",['IL1B'],"[['IDA', 'ISS', 'NAS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0014805,smooth muscle adaptation,1.0,False,"""Any process in which smooth muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities."" [GOC:mtg_muscle]",4,10,1,21026,0.1,0.25,query_1,['GO:0043500'],['IL1B'],[['NAS']],1.0,-0.0,1,Other
GO:BP,GO:0014074,response to purine-containing compound,1.0,False,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a purine-containing compound stimulus."" [GOC:ef]",148,10,1,21026,0.1,0.006756756756756757,query_1,['GO:1901698'],['IL1B'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0014015,positive regulation of gliogenesis,1.0,False,"""Any process that activates or increases the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]",71,10,1,21026,0.1,0.014084507042253521,query_1,"['GO:0014013', 'GO:0042063', 'GO:0050769']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0014013,regulation of gliogenesis,1.0,False,"""Any process that modulates the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]",106,10,1,21026,0.1,0.009433962264150943,query_1,"['GO:0042063', 'GO:0050767']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0014009,glial cell proliferation,1.0,False,"""The multiplication or reproduction of glial cells by cell division, resulting in the expansion of their population. Glial cells exist throughout the nervous system, and include Schwann cells, astrocytes, and oligodendrocytes among others."" [GOC:ef, ISBN:0878932585]",58,10,1,21026,0.1,0.017241379310344827,query_1,"['GO:0008283', 'GO:0042063']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0014002,astrocyte development,1.0,False,"""The process aimed at the progression of an astrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."" [GOC:dgh, GOC:ef]",42,10,1,21026,0.1,0.023809523809523808,query_1,"['GO:0021782', 'GO:0048708']",['IL1B'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0010959,regulation of metal ion transport,1.0,False,"""Any process that modulates the frequency, rate, or extent of metal ion transport. Metal ion transport is the directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph, GOC:tb]",374,10,1,21026,0.1,0.00267379679144385,query_1,"['GO:0030001', 'GO:0043269']",['PTPN6'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0010876,lipid localization,1.0,False,"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]",456,10,1,21026,0.1,0.0021929824561403508,query_1,['GO:0033036'],['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0010829,negative regulation of D-glucose transmembrane transport,1.0,False,"""Any process that decreases the frequency, rate or extent of glucose transport across a membrane. Glucose transport is the directed movement of the hexose monosaccharide glucose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:BHF, GOC:dph, GOC:tb]",18,10,1,21026,0.1,0.05555555555555555,query_1,"['GO:0010827', 'GO:0034763', 'GO:1904659']",['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0010827,regulation of D-glucose transmembrane transport,1.0,False,"""Any process that modulates the frequency, rate or extent of glucose transport across a membrane. Glucose transport is the directed movement of the hexose monosaccharide glucose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph, GOC:tb]",75,10,1,21026,0.1,0.013333333333333334,query_1,"['GO:0034762', 'GO:1904659']",['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0010817,regulation of hormone levels,1.0,False,"""Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."" [GOC:BHF, GOC:dph, GOC:tb]",556,10,1,21026,0.1,0.0017985611510791368,query_1,['GO:0065008'],['IL1B'],"[['IDA', 'ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0010721,negative regulation of cell development,1.0,False,"""Any process that decreases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]",267,10,1,21026,0.1,0.003745318352059925,query_1,"['GO:0045596', 'GO:0048468', 'GO:0060284']",['IL1B'],[['TAS']],1.0,-0.0,1,Other
GO:BP,GO:0010720,positive regulation of cell development,1.0,False,"""Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]",458,10,1,21026,0.1,0.002183406113537118,query_1,"['GO:0045597', 'GO:0048468', 'GO:0060284']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0010718,positive regulation of epithelial to mesenchymal transition,1.0,False,"""Any process that increases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition is where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."" [GOC:BHF, GOC:dph, GOC:tb]",56,10,1,21026,0.1,0.017857142857142856,query_1,"['GO:0001837', 'GO:0010717', 'GO:0045597', 'GO:0051240']",['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0010717,regulation of epithelial to mesenchymal transition,1.0,False,"""Any process that modulates the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."" [GOC:BHF, GOC:dph, GOC:tb]",106,10,1,21026,0.1,0.009433962264150943,query_1,"['GO:0001837', 'GO:0045595']",['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0010648,negative regulation of cell communication,1.0,False,"""Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1436,10,2,21026,0.2,0.001392757660167131,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048523']","['PTPN6', 'IL1B']","[['IDA', 'IEA'], ['IDA', 'ISS', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0010647,positive regulation of cell communication,1.0,False,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1795,10,4,21026,0.4,0.0022284122562674096,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']","['PTPN6', 'IL1B', 'CD40', 'LTB']","[['IMP'], ['IDA', 'IMP', 'ISS', 'IC', 'IEA'], ['IMP', 'IEP', 'IEA'], ['IBA']]",1.0,-0.0,4,Other
GO:BP,GO:0010646,regulation of cell communication,1.0,False,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3486,10,4,21026,0.4,0.0011474469305794606,query_1,"['GO:0007154', 'GO:0050794']","['PTPN6', 'IL1B', 'CD40', 'LTB']","[['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IC', 'IEA'], ['IMP', 'IEP', 'IEA'], ['IBA']]",1.0,-0.0,4,Other
GO:BP,GO:0010638,positive regulation of organelle organization,1.0,False,"""Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]",492,10,1,21026,0.1,0.0020325203252032522,query_1,"['GO:0006996', 'GO:0033043', 'GO:0051130']",['IL1B'],[['IMP']],1.0,-0.0,1,Other
GO:BP,GO:0010629,negative regulation of gene expression,1.0,False,"""Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1680,10,2,21026,0.2,0.0011904761904761906,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010558']","['XAF1', 'PTPN6']","[['IDA'], ['ISS', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0010628,positive regulation of gene expression,1.0,False,"""Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1212,10,4,21026,0.4,0.0033003300330033004,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010557']","['IFIH1', 'IL1B', 'CD40', 'LTB']","[['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA']]",1.0,-0.0,4,Other
GO:BP,GO:0010623,programmed cell death involved in cell development,1.0,False,"""The activation of endogenous cellular processes that result in the death of a cell as part of its development."" [GOC:dph, GOC:mtg_apoptosis, GOC:tb]",26,10,1,21026,0.1,0.038461538461538464,query_1,"['GO:0012501', 'GO:0048468', 'GO:0048869']",['IL1B'],[['IEA']],1.0,-0.0,1,Cell death
GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,1.0,False,"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3157,10,3,21026,0.3,0.0009502692429521698,query_1,"['GO:0009892', 'GO:0043170', 'GO:0060255']","['XAF1', 'PTPN6', 'IL1B']","[['IDA'], ['IMP', 'ISS', 'IEA'], ['ISS']]",1.0,-0.0,3,Other
GO:BP,GO:0015849,organic acid transport,1.0,False,"""The directed movement of organic acids, any acidic compound containing carbon in covalent linkage, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [ISBN:0198506732]",356,10,1,21026,0.1,0.0028089887640449437,query_1,['GO:0006810'],['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0015908,fatty acid transport,1.0,False,"""The directed movement of fatty acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Fatty acids are aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [GOC:ai]",122,10,1,21026,0.1,0.00819672131147541,query_1,"['GO:0006869', 'GO:0015718']",['IL1B'],"[['ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0016032,viral process,1.0,False,"""A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."" [GOC:bf, GOC:jl, GOC:mah]",423,10,1,21026,0.1,0.002364066193853428,query_1,['GO:0008150'],['IFIH1'],[['IDA']],1.0,-0.0,1,Interferon/antiviral
GO:BP,GO:0016042,lipid catabolic process,1.0,False,"""The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [GOC:go_curators]",354,10,1,21026,0.1,0.002824858757062147,query_1,"['GO:0006629', 'GO:0009056']",['IL1B'],"[['IDA', 'ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0019915,lipid storage,1.0,False,"""The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development."" [GOC:dph, GOC:mah, GOC:tb, PMID:11102830]",93,10,1,21026,0.1,0.010752688172043012,query_1,['GO:0170062'],['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0019752,carboxylic acid metabolic process,1.0,False,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",887,10,1,21026,0.1,0.0011273957158962795,query_1,['GO:0043436'],['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0019725,cellular homeostasis,1.0,False,"""Any process involved in the maintenance of an internal steady state at the level of the cell."" [GOC:isa_complete, GOC:jl, ISBN:0395825172]",835,10,2,21026,0.2,0.0023952095808383233,query_1,['GO:0042592'],"['PTPN6', 'CD40']","[['IEA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0019724,B cell mediated immunity,1.0,False,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",212,10,2,21026,0.2,0.009433962264150943,query_1,"['GO:0002449', 'GO:0002460']","['PTPN6', 'CD40']","[['IEA'], ['IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0019538,protein metabolic process,1.0,False,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4721,10,4,21026,0.4,0.0008472781190425757,query_1,"['GO:0043170', 'GO:0044238']","['PTPN6', 'IFIH1', 'IL1B', 'CD40']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'ISS', 'NAS'], ['IMP', 'IEA']]",1.0,-0.0,4,Other
GO:BP,GO:0019222,regulation of metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7035,10,7,21026,0.7,0.0009950248756218905,query_1,"['GO:0008152', 'GO:0050794']","['XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40', 'LTB']","[['IDA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA']]",1.0,-0.0,7,Other
GO:BP,GO:0019221,cytokine-mediated signaling pathway,1.0,False,"""The series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, PMID:19295629]",518,10,3,21026,0.3,0.005791505791505791,query_1,"['GO:0007166', 'GO:0071345']","['PTPN6', 'IFIH1', 'IL1B']","[['TAS'], ['IEA'], ['IDA', 'IBA']]",1.0,-0.0,3,Immune signaling
GO:BP,GO:0019220,regulation of phosphate metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]",956,10,3,21026,0.3,0.0031380753138075313,query_1,"['GO:0006796', 'GO:0051174']","['PTPN6', 'IL1B', 'CD40']","[['IMP', 'IEA'], ['IDA', 'ISS', 'NAS'], ['IMP', 'IEA']]",1.0,-0.0,3,Other
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,1.0,False,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,10,3,21026,0.3,0.0007518796992481203,query_1,"['GO:0006139', 'GO:0080090']","['IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA']]",1.0,-0.0,3,Other
GO:BP,GO:0019217,regulation of fatty acid metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving fatty acids."" [GOC:go_curators]",94,10,1,21026,0.1,0.010638297872340425,query_1,"['GO:0006631', 'GO:0010565', 'GO:0019216', 'GO:0062012']",['IL1B'],[['IGI']],1.0,-0.0,1,Other
GO:BP,GO:0019216,regulation of lipid metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]",320,10,1,21026,0.1,0.003125,query_1,"['GO:0006629', 'GO:0080090']",['IL1B'],"[['IDA', 'IGI', 'ISS', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0019079,viral genome replication,1.0,False,"""Any process involved directly in viral genome replication, including viral nucleotide metabolism."" [ISBN:0781702534]",131,10,1,21026,0.1,0.007633587786259542,query_1,"['GO:0016032', 'GO:0019058']",['IFIH1'],[['IDA']],1.0,-0.0,1,Interferon/antiviral
GO:BP,GO:0019058,viral life cycle,1.0,False,"""A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome."" [ISBN:1555811272]",310,10,1,21026,0.1,0.0032258064516129032,query_1,['GO:0016032'],['IFIH1'],[['IDA']],1.0,-0.0,1,Interferon/antiviral
GO:BP,GO:0018212,peptidyl-tyrosine modification,1.0,False,"""The modification of peptidyl-tyrosine."" [GOC:go_curators]",241,10,2,21026,0.2,0.008298755186721992,query_1,['GO:0018193'],"['PTPN6', 'CD40']","[['IDA', 'IMP', 'IEA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0002827,positive regulation of T-helper 1 type immune response,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of a T-helper 1 type immune response."" [GOC:add]",18,10,1,21026,0.1,0.05555555555555555,query_1,"['GO:0002824', 'GO:0002825', 'GO:0042088']",['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0018205,peptidyl-lysine modification,1.0,False,"""The modification of peptidyl-lysine."" [GOC:go_curators]",140,10,1,21026,0.1,0.007142857142857143,query_1,['GO:0018193'],['IFIH1'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0018108,peptidyl-tyrosine phosphorylation,1.0,False,"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]",239,10,2,21026,0.2,0.008368200836820083,query_1,"['GO:0006468', 'GO:0018212']","['PTPN6', 'CD40']","[['IDA', 'IMP', 'IEA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0016925,protein sumoylation,1.0,False,"""The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxy-terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein."" [GOC:jl, PMID:11265250]",69,10,1,21026,0.1,0.014492753623188406,query_1,"['GO:0018205', 'GO:0032446']",['IFIH1'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0016525,negative regulation of angiogenesis,1.0,False,"""Any process that stops, prevents, or reduces the frequency, rate or extent of angiogenesis."" [GOC:go_curators]",107,10,1,21026,0.1,0.009345794392523364,query_1,"['GO:0001525', 'GO:0045765', 'GO:2000181']",['PTPN6'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0016477,cell migration,1.0,False,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1534,10,2,21026,0.2,0.001303780964797914,query_1,['GO:0048870'],"['IL1B', 'CD40']","[['IDA', 'IEA'], ['IMP', 'IEA']]",1.0,-0.0,2,Other
GO:BP,GO:0016447,somatic recombination of immunoglobulin gene segments,1.0,False,"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, as known as immunoglobulin gene segments, within a single locus."" [GOC:add, ISBN:0781735149]",64,10,1,21026,0.1,0.015625,query_1,"['GO:0002562', 'GO:0016445']",['CD40'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0016445,somatic diversification of immunoglobulins,1.0,False,"""The somatic process that results in the generation of sequence diversity of immunoglobulins."" [GOC:add, GOC:ma, ISBN:0781735149]",69,10,1,21026,0.1,0.014492753623188406,query_1,"['GO:0002200', 'GO:0002377']",['CD40'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0016444,somatic cell DNA recombination,1.0,False,"""Recombination occurring within or between DNA molecules in somatic cells."" [GOC:ma]",73,10,1,21026,0.1,0.0136986301369863,query_1,['GO:0006310'],['CD40'],[['IEA']],1.0,-0.0,1,Other
GO:BP,GO:0016311,dephosphorylation,1.0,False,"""The process of removing one or more phosphoric (ester or anhydride) residues from a molecule."" [ISBN:0198506732]",218,10,1,21026,0.1,0.0045871559633027525,query_1,['GO:0006796'],['PTPN6'],"[['IDA', 'IMP', 'IEA']]",1.0,-0.0,1,Other
GO:BP,GO:0016310,phosphorylation,1.0,False,"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]",1320,10,3,21026,0.3,0.0022727272727272726,query_1,['GO:0006796'],"['PTPN6', 'IL1B', 'CD40']","[['IDA', 'IMP', 'IEA'], ['IDA', 'ISS', 'NAS'], ['IMP', 'IEA']]",1.0,-0.0,3,Other
GO:BP,GO:0016264,gap junction assembly,1.0,False,"""Assembly of gap junctions, which are found in most animal tissues, and serve as direct connections between the cytoplasms of adjacent cells. They provide open channels through the plasma membrane, allowing ions and small molecules (less than approximately a thousand daltons) to diffuse freely between neighboring cells, but preventing the passage of proteins and nucleic acids."" [GOC:jid, ISBN:0716731363]",18,10,1,21026,0.1,0.05555555555555555,query_1,['GO:0007043'],['IL1B'],[['IDA']],1.0,-0.0,1,Other
GO:BP,GO:0016070,RNA metabolic process,1.0,False,"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",6873,10,3,21026,0.3,0.00043649061545176777,query_1,['GO:0090304'],"['IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA']]",1.0,-0.0,3,Other
